embeddings,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
wire-haired fox terrier,-1.446529,1.0726082,-4.7852817,1.6561657,-0.40864697,-1.4385043,2.2011857,1.0199336,-1.3847505,3.1176598,-1.7834141,-2.718581,0.18567984,2.5986762,-1.1111751,-0.8731587,-4.9125504,1.6856216,2.862597,0.21821095,0.01946561,4.169215,-0.7321447,-1.0290458,-3.611358,0.6500042,-2.2719297,4.531817,-1.6327696,-0.88165355,-0.19815996,-2.6568127,-1.976701,-2.0378888,1.3803478,0.9416277,5.6558747,-0.6594948,1.4030138,-3.013839,-1.3028175,3.875942,0.612339,0.6714533,-0.746454,6.466266,-2.9399703,2.0186546,-3.8786733,2.5475993,-0.07936819,-0.53300756,-3.5783222,2.0556154,1.4396594,3.4941928,-1.8097179,-1.993493,-0.27372825,-1.2753197,0.35233364,6.328667,-4.818294,2.4496086,0.6731102,1.7410516,-2.7527862,1.0961922,4.0600157,4.097716,0.7308492,-0.89250064,-1.4455892,2.1035752,-2.307105,1.0597557,-2.1605918,-2.3951886,-0.07845202,-1.1982933,-3.6809375,1.9257941,-1.2562748,-0.9290544,-2.6075323,-0.04734387,0.34285456,1.8699602,-2.5244975,-0.41192016,-1.6337578,-1.4808911,-0.98547465,-2.1287935,0.12104535,-1.6868347,1.9579388,-0.14301795,-0.45345578,0.6877767,-5.7131867,-0.6335365,3.897224,-1.9506944,-0.8312719,0.18338758,-1.1608263,-3.467832,1.2368952,2.8242,-3.80995,4.865232,0.4537866,5.5015316,-0.32103863,2.0185425,-2.980249,2.207628,1.9262434,5.2622943,2.8907125,5.068901,0.04913421,-1.6427279,-2.5163414,-4.296408,-3.942979,-1.6893692,-1.2111859,-1.7536551,2.0757346,0.12956528,1.6012204,-0.876589,-2.4705162,2.3889832,2.617056,3.4764018,2.628421,0.009675547,-5.6227937,1.2321924,0.05700178,0.12677823,-1.9908104,-0.87176764,4.3990493,0.6808391,0.7142332,-2.1185777,1.7244086,1.945331,0.67500794,1.5295886,-2.1061869,-0.9532606,3.206227,1.7043791,3.6887817,-4.5377192,-0.9772637,-0.5681675,2.3615975,2.4261057,3.0284674,-1.612734,0.12135038,-2.3901193,1.4784614,1.747763,4.950979,1.6481776,2.7530704,0.83041674,-0.4514142,5.2449403,3.2119746,-1.2324985,-2.7839503,-0.669344,3.8332624,2.3624644,-0.5271444,0.23869635,-0.96009505,7.1657224,-4.11901,-0.770858,2.2931788,-4.7173758,4.5386477,2.1028621,1.063236,-2.7878273,1.9646789,0.65008473,4.7994137,1.3858211,3.5952442,0.6816687,1.6947527,2.961884,-5.9454026,-0.059473984,-3.835224,-0.50230175,0.014272626,-3.4296622,-1.6416569,-0.26621082,1.7012875,1.3898013,2.8364747,4.9606724,1.095333,-0.76673335,2.7110233,-4.976789,2.3307066,-5.143706,-0.09078391,-3.4113111,3.8082323,-0.04940959,-1.8256795,-0.3196872,6.965582,-0.99051446,4.7943196,3.5058217,-2.4378173,3.0550916,-0.79748166,0.32731065,1.2230487,-3.5656016,2.327757,-1.6704904,-5.345791,-1.7267653,-5.808731,-0.58021474,-0.17303738,-1.5068789,-3.8881028,0.8108924,1.5016042,3.4562242,2.3553483,-1.4103218,-2.5646415,2.2068007,3.8432713,-0.05682097,-3.9119549,2.0566463,-1.861439,-1.9464545,2.096733,-1.7258711,-0.13423002,-4.2447023,-2.1483135,-1.6251764,2.1882613,1.7270106,1.4030447,-0.6349229,0.060367767,-2.4938319,-4.3894076,-2.8543153,-0.44450974,3.2383018,-1.6223476,0.53824157,-3.55796,-1.5953131,-1.6787336,-1.7918777,-0.18775403,-1.3062073,-1.2097731,1.3405685,1.5719644,1.0129501,1.6637021,-2.8418825,0.6992613,-4.1201963,1.9152371,-1.5494953,5.503094,1.2606918,-0.6058766,0.18897058,1.6459625,-1.612195,-1.2781302,0.7100259
wolf spider,-3.0829964,0.18043642,-2.1958122,-0.8561124,-2.1828585,-0.35713947,2.5850544,2.8832924,-0.46202728,-0.4974263,-0.1498148,0.5166106,-1.0648255,-2.3001356,-0.94790477,-0.86015916,-2.7428358,-2.6252663,-1.4657863,2.3890288,0.94021803,4.309007,1.7109681,0.7507612,2.660355,3.1268842,-2.7520206,-1.5394217,-0.12885454,-0.8285838,-0.4721245,-1.6347609,-1.3197939,-1.5494817,-1.9708462,2.8065155,4.098054,-0.924444,0.0006418101,-7.1268077,-2.318263,-0.024296127,-0.7954995,-2.451022,-3.0454826,1.9668255,-0.09426818,1.3518369,-2.5449734,-0.49543002,0.43629628,-1.6854366,-3.2978573,0.9531635,1.5529838,1.277932,-1.6734408,-0.44444066,1.0142556,-1.6767925,0.15696785,5.1790953,1.4239562,0.9869034,0.6080174,-0.7527486,-1.7738063,4.325134,2.2257175,1.9632465,-1.5918219,-1.1059098,-0.27655807,-1.0996065,1.1896436,1.9567592,1.135651,0.010248788,-2.4631782,0.081264615,-2.238615,1.487737,-1.5951015,0.21838494,0.32314718,-1.2252481,1.7585349,-0.4765046,-2.337541,1.7420994,-1.7736378,-1.5891582,-1.8752878,-0.4223196,0.96084553,-0.60470736,0.001350083,-2.359273,1.960873,0.33628765,-5.0449,-0.55465776,2.3267994,-0.82216674,0.6212123,2.5053976,-0.7646483,-4.7153687,0.5291911,3.4815266,1.2279738,2.9435365,0.7602976,-0.3488936,2.929476,-4.1486254,-1.2574576,-0.035292793,3.1147244,0.68219584,1.7602627,2.7232344,-4.083006,-2.8682013,-0.33816043,0.2500244,-0.35239455,-2.6719306,-0.73306334,-2.910484,3.830378,-2.684704,-0.38445574,-2.4923036,0.1429537,-1.0660603,-0.4327258,0.42759538,2.924166,-3.969336,-5.1407013,1.1737396,0.081678584,2.1124692,0.019338176,0.21554954,5.922812,-1.1637338,1.3388047,-1.8655763,1.0999118,1.4533622,2.8939915,1.2091749,0.910059,-1.0801381,1.2073835,3.1406581,0.34714907,-1.5988423,-0.72848994,-1.4514642,3.7932057,-0.8820588,0.33853143,-0.99770015,-0.5409269,0.017192606,1.9272314,1.8534256,3.3460596,1.7681803,1.7603768,-0.6388517,-0.31536424,-0.72581947,1.3077718,3.3545325,1.6494521,-2.617414,2.7205985,-0.013679323,-0.6583613,0.681842,-0.324275,4.2063513,-1.3727093,1.0630312,3.082882,-2.1153226,1.6605972,0.72497785,-0.550866,-0.5519664,-1.3516377,-0.42720208,1.2693177,0.3850915,-1.4333619,1.3624202,-2.8192425,1.0049143,-1.9240817,-0.27875194,-2.6079428,2.892527,-0.105795726,-2.8085375,-2.4355147,0.26276714,0.54853237,2.0448856,1.7060027,1.2107009,0.18938695,0.47366917,1.2044978,-2.4959114,2.7099223,0.35478106,0.20208235,-4.457304,2.0636144,0.05071488,-0.621191,-2.3187864,1.4551402,-0.91532207,1.2420367,2.226332,-3.6223617,-0.05801786,0.74605244,0.84157056,2.5496223,0.35539392,-1.7056056,-2.2990603,0.4068445,-2.7595522,-1.7230216,-0.76041895,-2.325882,-0.460295,-1.4512262,-2.1170578,0.63652724,5.090745,1.0695134,1.7808623,-0.9370892,3.4755442,1.9785074,-1.0967529,-1.2225332,1.39272,-1.855886,-0.16808972,0.84764385,-1.7772704,-0.6984434,-1.8012252,0.040557347,-1.3474638,1.3700507,1.5377634,-0.29100603,1.3705963,-1.0003049,0.619621,-0.512369,-2.6379614,0.9268953,2.573785,-0.56323993,3.5989106,-1.1229458,-0.09145286,0.33189207,1.577359,0.032511424,-0.27834055,-0.5048079,0.22292489,1.6486838,2.3958127,2.8208275,-3.8528728,-1.3984557,-1.0057634,0.8731352,0.7040763,0.36687568,-0.0156035265,0.14074905,-0.60444975,-1.3219799,-0.84769326,1.1340694,0.2558338
trolleybus,-2.7339766,1.8890531,-2.3228168,-2.158579,2.1501296,-0.6134261,2.705888,2.124419,2.723144,-2.431828,-0.12164839,0.11945095,0.12883775,-0.4551483,-0.4112272,-2.1304467,-0.8473898,1.588765,-2.6934137,2.1754334,-1.39639,0.56275445,-0.21763544,-0.5104892,-1.2492237,1.6197202,-2.6907625,1.8879731,0.16550612,-1.6630278,-0.13727349,-3.0119586,-0.8242943,-1.7277701,0.24097073,0.83825463,3.6098373,0.07969931,3.2582257,-3.2319438,0.11467048,-0.9331448,-2.0704432,-1.8932166,-2.6687758,0.71418947,-0.2676389,2.9855123,-2.1137803,0.5544092,-1.3557643,-0.62867194,-3.156206,-0.2116061,0.68339556,0.7793485,3.191909,-1.7233133,-1.6246063,0.52779025,-0.80265903,-0.22365682,-2.0292015,-0.9827361,-0.99702805,0.74345994,-0.22386041,-0.9224438,1.3820481,0.84662384,2.5673912,-0.9445229,-1.4600137,1.5152224,-1.6680784,0.42415497,-3.0701241,0.20140742,-2.7979982,-1.6748294,0.20185338,0.6746804,-4.045406,-2.1663973,-2.0153964,-1.5375049,0.56439173,1.8384367,-0.7904394,1.4641641,-0.9405458,-3.1964793,0.7468594,-1.1087278,0.4266037,-0.96227884,-1.9479959,-1.5651687,-0.7114434,2.7744825,-5.0868163,1.0219443,-1.5886875,-0.71597993,1.4511579,1.4390806,-2.1652508,0.18846926,0.4282992,1.6078235,-0.9851816,1.22217,0.6023116,0.05392612,-0.8825382,-0.9225721,-2.7807283,-0.25072873,-2.1433027,0.9477812,3.3574793,1.0955569,-1.9454513,0.5508115,2.0435243,-3.0054364,0.54835415,0.19128923,-1.3664529,2.732437,2.8718154,-1.9575229,-0.8403887,0.21312615,-2.5348356,-0.23303717,0.9705055,0.8308575,2.3501592,1.0053009,-1.5282537,1.4160255,0.30185643,1.4793093,0.221887,-2.668907,0.6564952,-1.9465603,-0.07531391,-0.10414373,1.6241109,0.8113946,1.2513777,0.59509915,-0.038309235,1.1252725,3.4460542,1.0095184,3.0189412,-1.4969947,1.3379397,0.74308395,0.18407328,-3.6373127,2.3994467,-0.04576408,-1.8167032,2.741703,2.0818095,0.26204816,-0.24997324,1.4303833,1.2876984,-4.028217,-1.9127979,-0.55475146,1.8332304,-0.68436927,-1.0338026,-0.17844504,3.8886735,-2.5943716,-1.1467808,-0.7302622,1.3276905,-0.73051536,-0.43182135,-1.1466064,-0.3959293,-0.94804263,1.2914553,1.0885041,-1.5768352,0.36759883,-0.19348444,0.14116657,0.2528637,-1.5094123,-0.11887378,3.9438243,0.05929771,1.7515581,-1.9466844,0.7367244,-0.2157825,0.6998262,1.4528285,-0.087996855,-0.8063653,-0.92357916,1.1807292,-1.5986903,2.811702,1.1285766,0.23413403,0.08050502,0.7309222,-0.5348794,2.7728248,-4.6745195,1.7702435,-0.10055521,-0.13073382,1.8417325,-0.4714929,-2.657397,1.9763939,-1.3492458,2.315798,2.9679475,0.7631144,-1.935147,-0.6491339,-0.7867462,0.22989446,0.2923993,-0.6837053,-0.45679176,-1.5044436,0.13237713,-0.63717204,0.7366063,-0.24408826,-0.14308915,-1.602324,2.0057135,2.0112343,0.6175537,2.2917507,2.9767601,-1.376423,3.605289,1.03758,-0.19073652,-1.2909456,-1.5069327,-1.2892773,-0.9000978,-0.8584731,-0.40508655,1.5858839,-2.4929473,-0.68807536,0.07148633,0.58055735,1.5351175,2.1423714,-1.0547168,0.97001487,3.8421044,0.096542604,1.1205604,1.6169715,1.991166,-0.7180225,1.1547196,0.9743615,0.8016281,0.83322304,0.44100824,-0.7942495,-1.2031318,0.91878,-1.6370517,1.79043,0.73023546,-0.61884916,-1.3256778,0.26499438,-0.2851897,2.4390423,2.8601687,1.6886381,-1.7214454,-2.878492,-2.144277,0.5430506,-0.4640522,0.30131295,-1.2749709
warthog,-0.97302836,-2.2743266,-2.528005,-0.41830185,0.14549382,-1.8232634,3.4462383,1.7582229,2.7611814,0.10063256,-1.9795142,0.21236241,-1.1533488,1.8620545,0.1434045,-2.8693302,-3.2908797,-0.3159846,0.31019446,-0.635964,-1.1828914,2.7519634,0.116547614,-1.8888859,1.1520058,4.369231,-2.757707,-0.41878444,0.16889879,-1.6509432,-0.8977111,-0.91755867,-3.8214548,-3.1241834,0.9984806,1.1855867,4.9047856,-0.36064327,-0.57372886,-2.325681,-5.033137,0.61837155,-1.0657145,-2.4597723,-2.3457754,1.6696942,-0.7519219,3.691737,-4.128377,0.737531,1.4178014,-1.7229425,-5.967185,1.2943872,2.7537813,0.90702045,-2.9644156,0.015578926,-2.744402,-2.0415676,0.49706545,4.476402,-0.21950762,2.8741353,0.30356038,-0.14896089,-1.2709081,1.0650433,7.0070763,0.48647344,-1.5012136,-0.45069605,-1.3862509,-0.6490203,1.5505517,0.67246497,-1.6696534,-2.6248646,0.9621541,0.56021196,-3.591918,-2.1854405,0.09087434,-0.7125466,0.2482926,0.11934079,1.730994,0.6899358,-2.3282819,0.9970405,-0.7794407,0.12614062,-0.29840043,-0.36023632,-2.1393511,0.7647076,-0.5486678,-2.678409,-0.8473,-0.4870934,-3.982847,0.24177416,0.5669275,-1.5520893,-0.3442515,-0.3387659,-3.0767224,-2.6710913,0.3637376,3.9659855,-2.260233,1.2502394,2.8320868,3.7719328,1.8610373,-1.0876837,-2.3231826,-0.55197436,1.8104787,3.8488321,0.79387784,3.2401083,-0.3580153,-0.49778724,-1.892634,-0.713438,-2.0270436,-1.9246403,-2.5644908,-0.9712052,2.5121543,-1.71785,-1.4859952,-0.5737607,-0.81570154,2.6781766,0.2470268,1.4007709,0.056531977,-1.3811111,-2.8285644,1.2686605,2.3006818,2.0609648,1.0096028,0.5493849,3.4674807,-2.100388,-0.86887765,-2.7894125,-1.7460359,1.7251353,2.8046381,2.2783463,0.6503474,-0.5817081,2.1622522,0.79409057,-0.66839826,-4.7450957,-0.016172793,2.8605566,2.6635935,0.4134077,2.7075818,-2.138956,-0.6354797,-0.50093734,0.8790587,1.4123446,2.9354086,3.885369,3.1136005,-0.47321087,0.28210282,1.9494872,2.5671058,-0.49253267,1.1738985,-2.9524074,4.6434417,0.02008687,-1.9973999,-1.4987803,0.8698784,2.7692158,-3.229741,2.1435761,1.199264,-2.5368817,3.0096607,0.58547443,-0.24967477,-0.24537097,0.81276965,-0.98520356,0.97645015,0.53496003,-0.053696264,0.24843493,-0.24732557,0.6378878,-4.0953546,2.0701632,-1.5649729,1.0553579,0.7205631,-1.8446454,-0.7682427,-0.29158074,3.0836568,-0.15911385,3.1120718,2.3130183,1.2048886,-0.19257277,3.3622077,-2.5502112,2.4054103,-1.607856,2.8954015,-1.9502952,0.714898,0.846971,-3.3066933,-1.4917524,4.4527893,0.5473849,3.059961,2.5521827,-2.2292798,0.6423887,2.709033,1.5131967,-0.0073119835,0.08411174,-2.1847992,-0.44514477,-2.9329028,-3.0779276,-0.72016126,-2.5372307,-0.81486714,-0.4289004,-2.4712965,-0.5513574,0.87283427,3.1311862,0.42087516,-0.35549143,-1.8654795,3.4718947,3.4804447,-0.4246353,-1.5004321,1.5186571,-3.1309,0.3287634,-0.087866865,-2.0421069,-1.952544,-2.5660903,1.1272867,-1.5919055,3.2549312,3.1763213,1.8104519,1.8264695,-0.7830126,-0.40762132,1.2390088,-1.0759615,1.0285333,3.6283412,-2.4101155,2.740079,-2.323593,-3.93486,-1.5924008,-0.23124816,0.60939276,-0.52427346,-1.9445672,-0.31221715,3.0798564,-1.3095688,1.3851981,-2.25997,-1.3772645,-0.3489275,2.0072796,-0.6673554,3.6325746,0.22217993,2.605007,0.062056176,-3.0344257,-2.056322,-0.13015147,-0.60440826
water bottle,-2.7616415,-0.48882297,-3.1404696,-0.39949757,1.5534618,-1.2487308,2.148028,2.8010077,-1.0029906,0.6715195,1.0413995,-1.2265157,-0.49655107,3.047028,-1.1042249,0.5427042,-2.5444877,-0.62765265,-1.0533404,2.7246726,0.17006958,1.9716601,-2.348554,2.3689044,-1.8550698,3.1359878,0.42938653,-0.5739196,-4.7000456,-0.34006432,-0.14432888,-1.31682,-3.3289297,-1.7770911,0.10907784,2.1397989,4.452348,-0.14747733,1.5884839,-3.756416,-2.402052,-0.99990326,0.6557037,-1.2124262,-3.4869313,-1.4970562,-2.0788486,4.075263,-4.817955,2.278161,0.65200704,-3.8366275,-1.3861223,3.368774,1.2030113,0.6628663,-1.5134647,-1.5224316,1.0706445,-3.639869,-0.39218363,4.1685653,-1.7656509,0.2428005,-0.11934973,0.54071695,-0.15237185,0.7743964,2.422005,0.4171963,-1.2178861,-0.48039114,-3.767998,-0.27416837,-0.5544646,3.137281,-1.8435087,-1.591877,-2.6225526,-0.28845215,0.74460745,0.08013765,-3.9343388,-0.5333138,-2.9062767,-0.11652895,0.38938627,0.43384293,-1.179716,0.43652904,-0.59522617,-1.6490391,-1.4218396,-3.1184871,-2.0832887,-0.7844754,2.2030516,-1.5224857,-1.563339,0.67486703,-3.5353706,0.15082188,1.9429493,-1.5607345,-1.6306878,3.4077332,0.765212,-1.9036521,1.9277642,2.785931,-1.6134964,2.545732,3.0622199,-1.2934641,1.0787988,-2.1295018,-1.8971211,1.1225065,0.049044,2.8834066,0.17240031,4.35937,-1.2931229,-0.28494516,-2.5794804,-3.2521186,-0.682447,-1.7002566,0.7285781,0.013289082,6.327301,-2.1715431,1.4357929,-1.6683451,-3.1196318,0.55085623,0.2583165,2.034205,4.0739446,0.49998933,-2.756544,-2.0552998,0.5680134,2.8952038,-0.7282411,0.009543598,6.083854,-2.4476526,-0.12997708,-3.2509215,1.9864241,1.7457862,3.3847883,2.5715067,-2.7955997,-2.0328648,2.2778609,2.5417151,3.169235,-0.7797311,-0.84137493,-0.97530586,0.753117,-2.3264794,1.8177273,-0.9917817,0.65158385,1.3658029,1.8484567,-2.1564212,3.4462473,0.3164657,0.13044071,-0.9832807,-2.308448,0.54958504,4.6461005,0.9797479,-3.197088,-3.730304,3.456443,1.5916195,-3.1626449,2.4295738,-1.6062667,3.37719,-1.2950369,0.59743404,1.1946855,-2.588491,1.7861371,-1.5306264,-0.66118467,-2.7565598,-1.5259753,1.0140249,0.69032717,0.31349576,-0.64444584,2.859418,1.286815,-1.3255881,0.11970078,-0.9843563,-1.5028876,2.40658,1.9949287,-1.2025876,0.7545543,-1.3203738,1.8285819,-0.9568921,2.8037925,2.3015826,0.27828938,0.26271927,0.43980464,-1.9745519,2.0747156,-2.939222,0.6347311,-1.1562799,2.3272893,1.9076135,-1.7180692,1.6101322,4.7991686,-0.26938492,3.8471744,1.3319169,-2.946588,-2.2061875,1.7446536,1.8042071,1.0439317,-1.7966511,-1.5599318,-0.79338026,-2.634411,-2.014491,-3.7153556,-0.6006886,-0.42416045,1.2326537,0.19247772,0.32882124,-0.19881988,1.6912532,1.4030625,1.7865844,-2.1009748,4.736437,4.860292,-0.50594467,0.83447224,0.5909559,-0.90634966,-3.2025785,0.13947356,-4.1171575,-0.14284176,-3.7657895,1.3664595,-0.23525748,2.4314754,2.5159547,1.0979342,0.98157996,-1.1639009,1.3209971,-0.7073668,-2.9989994,1.7417134,3.6054416,-0.60489714,1.3055604,-0.5705473,-0.371254,-1.04847,0.04826819,-0.8336728,-0.7306966,-2.9108906,1.5769095,2.2777765,1.7316521,2.6478527,-2.5754664,-3.4560058,1.2958722,1.3746468,1.758281,4.762599,-3.787841,-0.7842671,-1.8475024,-0.41754094,-0.035912815,0.39743978,-0.26982772
white wolf,-2.5717325,-0.7551859,-2.538573,0.9471084,0.008617591,-1.1012721,2.832682,2.080245,0.51485956,0.20500013,-2.9461665,-0.7641715,-1.1185057,1.1184806,-0.9574575,-0.67242056,-3.0026517,-0.9371246,-0.025745934,1.9281743,1.1575397,2.8309793,-0.74535507,-0.36646125,-0.17202389,3.0759635,-4.257049,2.0068555,0.15189306,-2.375515,0.25293273,-0.35135227,-2.2660875,-1.4340429,-0.35934374,1.6057819,2.345443,1.0815303,0.78002995,-3.165673,-2.5172603,1.1556185,-0.09738283,-2.2463899,-1.1980673,3.5061328,-0.30691665,2.2053866,-1.8141797,1.4177914,2.2517147,0.19805154,-3.253457,0.74363583,1.7946222,0.34838912,-3.4176216,-0.54307044,-0.9040956,-1.4320563,-1.1447624,4.7135143,-0.43713683,2.7233768,0.5824604,1.1093764,-1.8357009,0.8393882,4.9478035,0.5995668,0.03769506,-1.3842566,1.338733,1.6285598,0.19040297,0.5683505,-0.7853729,-2.206468,-0.13468227,0.7397471,-2.3424592,-1.9864247,-1.6449851,0.70124865,-0.22007918,1.6745199,0.42922932,-0.26958603,-3.1969981,-0.4219477,-1.7245048,-0.7213861,-0.18660021,-0.44189543,1.6352202,-2.236762,-1.0697504,-1.0939587,0.27903017,0.04807677,-3.7042956,0.8254538,2.2337239,-0.9016846,-0.3631279,-1.2245469,-2.255868,-3.3754156,1.001235,2.7091205,-2.8118608,2.4243574,1.006541,4.5093884,0.4494819,1.0860647,-4.172806,1.480682,1.6470301,4.01205,1.1755531,2.7191796,-0.31516552,-1.1219717,-2.0833507,-2.4736438,-2.0701234,-2.057265,-1.8223361,-0.7314948,1.2145574,-0.7410633,0.98776376,-0.8134366,-0.85599345,2.778736,0.8226398,2.6977906,0.99653864,-0.48111048,-2.750111,1.7196621,1.9337473,1.3780751,0.3162452,0.07815809,3.8934073,-0.7883983,-0.0819924,-1.6560183,-0.08501641,1.777836,2.1223845,1.6464684,0.34141564,-0.21033747,1.9342806,1.6297036,0.06181898,-3.8776336,-0.1738916,2.4068897,2.4045756,1.3881776,2.414665,-2.2710075,-0.4011412,-2.0684056,0.9065056,1.0071568,4.057082,2.9359207,2.7786758,0.7444507,-0.11464912,1.65467,1.9250196,-1.7579954,-0.8938024,-1.5290463,4.733615,1.6070919,-0.39136335,-0.7929923,-0.47245118,2.6779435,-3.3466392,0.35152972,1.8536358,-2.7995925,2.2858014,1.4996847,-0.3891241,-0.0051907296,1.0625894,0.17045777,2.7894976,2.4569619,3.1384192,2.9270756,-1.030898,-0.28879067,-3.9009042,-0.9804118,-0.6657989,0.37229854,1.2644345,-4.1150684,-0.8218662,0.25746128,2.0789175,0.38772437,2.6297193,3.176971,1.0997971,-1.3124853,3.2376606,-2.2513185,2.5336483,-2.420649,3.245458,-3.4389029,3.3193643,0.5462128,-3.2643285,-2.2327113,3.237943,2.3591828,1.7961013,1.3903773,-2.5263162,3.1120389,1.7570208,-0.24151286,0.41843212,-1.3988668,0.46684724,-1.077779,-2.7900171,-1.0788021,-2.4458857,-2.0174413,-1.2050569,0.7611984,-2.5275822,0.3991102,1.8476079,3.603256,1.0445986,-1.9031093,-2.2814724,2.6343653,4.863689,1.1181136,-3.8445287,1.5663996,-1.7102679,0.531483,1.7204927,-0.04589377,-2.091755,-3.446163,-0.74185914,-1.2472258,1.2392132,1.114189,3.393569,0.25829995,0.7495823,-0.6526143,-1.288219,-0.28866103,-0.5518053,3.260532,-2.456672,1.1004337,-2.5719895,-3.0048592,-1.3513792,-0.64069325,-0.2250778,0.2374002,-0.2917972,1.7380775,2.6821218,1.1237242,2.7457235,-2.2747865,0.92883277,-1.6693392,1.0964769,-1.5016187,4.1657968,1.4638629,1.3004053,-0.28115794,-0.47081813,-1.6705405,-0.2392046,-1.3589416
